sample,assembler,classification,binning,unmerged.nb_bins,unmerged.nb_ctgs,unmerged.len_ctgs,unmerged.Dissimilarity,unmerged.Extra_ctgs,unmerged.Missing_ctgs,unmerged.Cuts,unmerged.Joins,unmerged.Precision,unmerged.Recall,unmerged.F1,merged.nb_bins,merged.nb_ctgs,merged.len_ctgs,merged.Dissimilarity,merged.Extra_ctgs,merged.Missing_ctgs,merged.Cuts,merged.Joins,merged.Precision,merged.Recall,merged.F1
ecol-SAMN08768110,UNICYCLER,plasclass,gplascc,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,plasgraph2,gplascc,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,mlplasmids,gplascc,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,rfplasmid,gplascc,3.0,45.0,190545.0,0.5,0.11016949152542373,0.3305084745762712,0.03389830508474576,0.025423728813559324,0.46763756592930805,0.8799508348099528,0.6107177329550315,2.0,45.0,190545.0,0.5,0.11016949152542373,0.3305084745762712,0.03389830508474576,0.025423728813559324,0.46763756592930805,0.8799508348099528,0.6107177329550315
ecol-SAMN08768110,UNICYCLER,plasclass,ground_truth,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,ground_truth,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,mlplasmids,ground_truth,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0,2.0,69.0,159231.0,0.04929577464788732,0.0,0.0,0.028169014084507043,0.02112676056338028,0.5646136744729355,1.0,0.7217291829730869
ecol-SAMN08768110,UNICYCLER,rfplasmid,ground_truth,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0,3.0,73.0,160276.0,0.0410958904109589,0.0,0.0,0.02054794520547945,0.02054794520547945,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,plasclass,mobrecon,6.0,42.0,234939.0,0.7565217391304347,0.1826086956521739,0.45217391304347826,0.05217391304347826,0.06956521739130435,0.5725699011232703,0.8330567271456737,0.678676966271317,6.0,42.0,234939.0,0.7565217391304347,0.1826086956521739,0.45217391304347826,0.05217391304347826,0.06956521739130435,0.5725699011232703,0.8330567271456737,0.678676966271317
ecol-SAMN08768110,UNICYCLER,plasgraph2,mobrecon,6.0,42.0,234939.0,0.7565217391304347,0.1826086956521739,0.45217391304347826,0.05217391304347826,0.06956521739130435,0.5725699011232703,0.8330567271456737,0.678676966271317,6.0,42.0,234939.0,0.7565217391304347,0.1826086956521739,0.45217391304347826,0.05217391304347826,0.06956521739130435,0.5725699011232703,0.8330567271456737,0.678676966271317
