sample,assembler,classification,binning,unmerged.nb_bins,unmerged.nb_ctgs,unmerged.len_ctgs,unmerged.n.Dissimilarity,unmerged.n.Extra_ctgs,unmerged.n.Missing_ctgs,unmerged.n.Cuts,unmerged.n.Joins,unmerged.u.Dissimilarity,unmerged.u.Extra_ctgs,unmerged.u.Missing_ctgs,unmerged.u.Cuts,unmerged.u.Joins,unmerged.w.Precision,unmerged.w.Recall,unmerged.w.F1,unmerged.u.Precision,unmerged.u.Recall,unmerged.u.F1,merged.nb_bins,merged.nb_ctgs,merged.len_ctgs,merged.n.Dissimilarity,merged.n.Extra_ctgs,merged.n.Missing_ctgs,merged.n.Cuts,merged.n.Joins,merged.u.Dissimilarity,merged.u.Extra_ctgs,merged.u.Missing_ctgs,merged.u.Cuts,merged.u.Joins,merged.w.Precision,merged.w.Recall,merged.w.F1,merged.u.Precision,merged.u.Recall,merged.u.F1
ecol-SAMN08768110,UNICYCLER,plasclass,gplascc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,plasgraph2,gplascc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,mlplasmids,gplascc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,rfplasmid,gplascc,3.0,45.0,190545.0,0.3665650761610351,0.14848217089470395,0.1661368272463199,0.051946078020011284,0.0,1600.879083488353,648.45785131983,725.5600411287156,226.8611910398074,0.0,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729,2.0,45.0,190545.0,0.3665650761610351,0.14848217089470395,0.1661368272463199,0.051946078020011284,0.0,1600.879083488353,648.45785131983,725.5600411287156,226.8611910398074,0.0,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729
ecol-SAMN08768110,UNICYCLER,plasclass,ground_truth,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,ground_truth,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,mlplasmids,ground_truth,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,69.0,159231.0,0.05968901313392021,0.0,0.0,0.05968901313392021,0.0,263.30020888711806,0.0,0.0,263.30020888711806,0.0,0.5646136744729355,1.0,0.7217291829730869,0.8985507246376812,1.0,0.9465648854961832
ecol-SAMN08768110,UNICYCLER,rfplasmid,ground_truth,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,73.0,160276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ecol-SAMN08768110,UNICYCLER,plasclass,mobrecon,6.0,42.0,234939.0,0.4757179863296927,0.2602305200532608,0.16595267040590908,0.021566506098705193,0.027968289771817638,2349.8956502216215,1285.4560573714834,819.7534453936779,106.53168542738825,138.15446202907202,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,6.0,42.0,234939.0,0.4757179863296927,0.2602305200532608,0.16595267040590908,0.021566506098705193,0.027968289771817638,2349.8956502216215,1285.4560573714834,819.7534453936779,106.53168542738825,138.15446202907202,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391
ecol-SAMN08768110,UNICYCLER,plasgraph2,mobrecon,6.0,42.0,234939.0,0.4757179863296927,0.2602305200532608,0.16595267040590908,0.021566506098705193,0.027968289771817638,2349.8956502216215,1285.4560573714834,819.7534453936779,106.53168542738825,138.15446202907202,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,6.0,42.0,234939.0,0.4757179863296927,0.2602305200532608,0.16595267040590908,0.021566506098705193,0.027968289771817638,2349.8956502216215,1285.4560573714834,819.7534453936779,106.53168542738825,138.15446202907202,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391
