sample,assembler,classification,binning,merged.nb_bins,merged.nb_ctgs,merged.len_ctgs,merged.w.Precision,merged.w.Recall,merged.w.F1,merged.u.Precision,merged.u.Recall,merged.u.F1,merged.n.Cuts,merged.n.Joins,merged.n.Extra_ctgs,merged.n.Missing_ctgs,merged.n.Dissimilarity,merged.u.Cuts,merged.u.Joins,merged.u.Extra_ctgs,merged.u.Missing_ctgs,merged.u.Dissimilarity,unmerged.nb_bins,unmerged.nb_ctgs,unmerged.len_ctgs,unmerged.w.Precision,unmerged.w.Recall,unmerged.w.F1,unmerged.u.Precision,unmerged.u.Recall,unmerged.u.F1,unmerged.n.Cuts,unmerged.n.Joins,unmerged.n.Extra_ctgs,unmerged.n.Missing_ctgs,unmerged.n.Dissimilarity,unmerged.u.Cuts,unmerged.u.Joins,unmerged.u.Extra_ctgs,unmerged.u.Missing_ctgs,unmerged.u.Dissimilarity
ecol-SAMN08768110,UNICYCLER,plasclass,plasbinflow,1.0,448.0,3579573.0,0.02468311164488055,0.9903354213980883,0.04816574077512736,0.13616071428571427,0.9863013698630136,0.23928736822032745,0.0,0.0,0.7293666026871402,0.0019193857965451055,0.7312859884836852,0.0,0.0,380.0,1.0,381.0,20,1608,8108032,0.036286610610318265,0.938649579475405,0.06987208421705665,0.18159203980099503,0.9315068493150684,0.303933874177254,0.0,0.0,0.7787031528851874,0.000594883997620464,0.7792980368828079,0.0,0.0,1309.0,1.0,1310.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,plasbinflow,1.0,130.0,649349.0,0.08550717718823006,0.4424243180513614,0.14331577069040363,0.4153846153846154,0.863013698630137,0.5608308605341247,0.0,0.0,0.3497536945812808,0.04926108374384237,0.39901477832512317,0.0,0.0,71.0,10.0,81.0,15,427,1526417,0.08717801229939132,0.35440115800244576,0.1399340847084662,0.4613583138173302,0.7397260273972602,0.5682844093058042,0.0,0.0,0.446,0.02,0.466,0.0,0.0,223.0,10.0,233.0
ecol-SAMN08768110,UNICYCLER,mlplasmids,plasbinflow,1.0,71.0,169154.0,0.5223346772763281,0.9130624672440041,0.6645187932575954,0.6901408450704225,0.821917808219178,0.7502870996554803,0.0,0.0,0.10416666666666667,0.09027777777777778,0.19444444444444445,0.0,0.0,15.0,13.0,28.0,5,198,335408,0.6079401803177026,0.9081022735780778,0.7283065965960399,0.7676767676767676,0.7397260273972602,0.7534422617954837,0.0,0.0,0.11808118081180811,0.04797047970479705,0.16605166051660517,0.0,0.0,32.0,13.0,45.0
ecol-SAMN08768110,UNICYCLER,rfplasmid,plasbinflow,1.0,24.0,168622.0,0.5068081270534094,0.8144513214704634,0.6248137703337102,0.5,0.2328767123287671,0.3177570093457944,0.0,0.0,0.07216494845360824,0.5773195876288659,0.6494845360824743,0.0,0.0,7.0,56.0,63.0,15,26,170408,0.7716949908455002,0.5433127854451072,0.6376719020977852,0.6923076923076923,0.0684931506849315,0.12465373961218836,0.0,0.0,0.08080808080808081,0.5656565656565656,0.6464646464646465,0.0,0.0,8.0,56.0,64.0
ecol-SAMN08768110,UNICYCLER,plasclass,gplascc,,,,,,,,,,,,,,,,,,,,87,290,572612,0.25058853115198426,0.8818101275300108,0.39027157603644513,0.19655172413793104,0.6164383561643836,0.2980651908663064,0.0,0.0,0.6253443526170799,0.03305785123966942,0.6584022038567493,0.0,0.0,227.0,12.0,239.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,gplascc,,,,,,,,,,,,,,,,,,,,32,114,225054,0.23572564806668622,0.37106616087249494,0.2883025444928286,0.38596491228070173,0.589041095890411,0.4663544491003204,0.0,0.0,0.35294117647058826,0.11764705882352941,0.47058823529411764,0.0,0.0,66.0,22.0,88.0
ecol-SAMN08768110,UNICYCLER,mlplasmids,gplascc,,,,,,,,,,,,,,,,,,,,127,236,232978,0.393230262084832,0.8904452319748434,0.5455428783395923,0.22033898305084745,0.6438356164383562,0.3283181085437937,0.0,0.0,0.5760517799352751,0.038834951456310676,0.6148867313915858,0.0,0.0,178.0,12.0,190.0
ecol-SAMN08768110,UNICYCLER,rfplasmid,gplascc,2.0,45.0,190545.0,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729,0.0,0.0,0.11016949152542373,0.3305084745762712,0.4406779661016949,0.0,0.0,13.0,39.0,52.0,3,45,190545,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729,0.0,0.0,0.11016949152542373,0.3305084745762712,0.4406779661016949,0.0,0.0,13.0,39.0,52.0
ecol-SAMN08768110,UNICYCLER,plasclass,mobrecon,,,,,,,,,,,,,,,,,,,,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.0,0.0,0.1826086956521739,0.45217391304347826,0.6347826086956522,0.0,0.0,21.0,52.0,73.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,mobrecon,6.0,42.0,234939.0,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.0,0.0,0.1826086956521739,0.45217391304347826,0.6347826086956522,0.0,0.0,21.0,52.0,73.0,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.0,0.0,0.1826086956521739,0.45217391304347826,0.6347826086956522,0.0,0.0,21.0,52.0,73.0
