sample,assembler,classification,binning,merged.nb_bins,merged.nb_ctgs,merged.len_ctgs,merged.w.Precision,merged.w.Recall,merged.w.F1,merged.u.Precision,merged.u.Recall,merged.u.F1,merged.n.Cuts,merged.n.Joins,merged.n.Extra_ctgs,merged.n.Missing_ctgs,merged.n.Dissimilarity,merged.u.Cuts,merged.u.Joins,merged.u.Extra_ctgs,merged.u.Missing_ctgs,merged.u.Dissimilarity,unmerged.nb_bins,unmerged.nb_ctgs,unmerged.len_ctgs,unmerged.w.Precision,unmerged.w.Recall,unmerged.w.F1,unmerged.u.Precision,unmerged.u.Recall,unmerged.u.F1,unmerged.n.Cuts,unmerged.n.Joins,unmerged.n.Extra_ctgs,unmerged.n.Missing_ctgs,unmerged.n.Dissimilarity,unmerged.u.Cuts,unmerged.u.Joins,unmerged.u.Extra_ctgs,unmerged.u.Missing_ctgs,unmerged.u.Dissimilarity
ecol-SAMN08768110,UNICYCLER,plasclass,plasbinflow,1.0,448.0,3579573.0,0.02468311164488055,0.9903354213980883,0.04816574077512736,0.13616071428571427,0.9863013698630136,0.23928736822032745,0.011383346982519754,0.0,0.8109906228116096,0.0044156937679937095,0.826789663562123,263.30020888711806,0.0,18758.454848094607,102.13631309663644,19123.89137007836,20,1608,8108032,0.036286610610318265,0.938649579475405,0.06987208421705665,0.18159203980099503,0.9315068493150684,0.303933874177254,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,plasgraph2,plasbinflow,1.0,130.0,649349.0,0.08550717718823006,0.4424243180513614,0.14331577069040363,0.4153846153846154,0.863013698630137,0.5608308605341247,0.016088662060034772,0.0,0.4836828109643434,0.08475163953908603,0.5845231125634641,119.75391434103523,0.0,3600.2316225125514,630.8380736542158,4350.823610507802,15,427,1526417,0.08717801229939132,0.35440115800244576,0.1399340847084662,0.4613583138173302,0.7397260273972602,0.5682844093058042,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,mlplasmids,plasbinflow,1.0,71.0,169154.0,0.5223346772763281,0.9130624672440041,0.6645187932575954,0.6901408450704225,0.821917808219178,0.7502870996554803,0.05289286857107877,0.0,0.10351557673664946,0.09520288924012493,0.25161133454785317,238.6252291774698,0.0,467.0086703470533,429.50612959766624,1135.1400291221894,5,198,335408,0.6079401803177026,0.9081022735780778,0.7283065965960399,0.7676767676767676,0.7397260273972602,0.7534422617954837,,,,,,,,,,
ecol-SAMN08768110,UNICYCLER,rfplasmid,plasbinflow,1.0,24.0,168622.0,0.5068081270534094,0.8144513214704634,0.6248137703337102,0.5,0.2328767123287671,0.3177570093457944,0.055517085527795336,0.0,0.1181784651359929,0.28805043068612507,0.46174598134991324,212.31580252067909,0.0,451.95376211613666,1101.6006653831373,1765.870230019953,15,26,170408,0.7716949908455002,0.5433127854451072,0.6376719020977852,0.6923076923076923,0.0684931506849315,0.12465373961218836,0.0,0.1525308028189446,0.1317362287462376,0.28362173452406786,0.56788876608925,0.0,592.4370858204268,511.66994477852944,1101.6006653831373,2205.7076959820934
ecol-SAMN08768110,UNICYCLER,plasclass,gplascc,,,,,,,,,,,,,,,,,,,,87,290,572612,0.25058853115198426,0.8818101275300108,0.39027157603644513,0.19655172413793104,0.6164383561643836,0.2980651908663064,0.012251335895587788,0.025594204533318475,0.6242751081541047,0.020830391454015138,0.6829510400370262,138.22089514381022,288.75658060792375,7043.139213588545,235.0107267899547,7705.127416130234
ecol-SAMN08768110,UNICYCLER,plasgraph2,gplascc,,,,,,,,,,,,,,,,,,,,32,114,225054,0.23572564806668622,0.37106616087249494,0.2883025444928286,0.38596491228070173,0.589041095890411,0.4663544491003204,0.014380228476812999,0.016251066562877933,0.39559537111992954,0.14379942618109057,0.5700260923407111,85.98837130682267,97.17528118512453,2365.5119050416997,859.866619790178,3408.542177323825
ecol-SAMN08768110,UNICYCLER,mlplasmids,gplascc,,,,,,,,,,,,,,,,,,,,127,236,232978,0.393230262084832,0.8904452319748434,0.5455428783395923,0.22033898305084745,0.6438356164383562,0.3283181085437937,0.030600996329541476,0.023474753087673397,0.4555489605672162,0.049411728399440025,0.5590364383838711,230.53850003849686,176.85157395943483,3431.965839683365,372.25277330331903,4211.608686984616
ecol-SAMN08768110,UNICYCLER,rfplasmid,gplascc,2.0,45.0,190545.0,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729,0.051946078020011284,0.0,0.14848217089470397,0.17292222426680312,0.37335047318151837,226.8611910398074,0.0,648.4578513198301,755.1935247028131,1630.5125670624504,3,45,190545,0.46763756592930805,0.8799508348099528,0.6107177329550315,0.5777777777777777,0.4657534246575342,0.5157526254375729,0.051946078020011284,0.0,0.14848217089470395,0.17292222426680312,0.37335047318151837,226.8611910398074,0.0,648.45785131983,755.1935247028131,1630.5125670624504
ecol-SAMN08768110,UNICYCLER,plasclass,mobrecon,,,,,,,,,,,,,,,,,,,,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.021566506098705193,0.027968289771817638,0.2602305200532608,0.1659526704059091,0.47571798632969275,106.53168542738825,138.15446202907202,1285.4560573714834,819.7534453936781,2349.895650221622
ecol-SAMN08768110,UNICYCLER,plasgraph2,mobrecon,6.0,42.0,234939.0,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.021566506098705193,0.027968289771817638,0.2602305200532608,0.1659526704059091,0.47571798632969275,106.53168542738825,138.15446202907202,1285.4560573714834,819.7534453936781,2349.895650221622,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.021566506098705193,0.027968289771817638,0.2602305200532608,0.1659526704059091,0.47571798632969275,106.53168542738825,138.15446202907202,1285.4560573714834,819.7534453936781,2349.895650221622
ecol-SAMN08768110,UNICYCLER,mlplasmids,mobrecon,4.0,42.0,234939.0,0.3754165974997765,0.9038658314407647,0.5304946388059391,0.40476190476190477,0.273972602739726,0.32676597789524264,0.04861479283604503,0.006401783673112443,0.2602305200532608,0.1659526704059091,0.48119976696832745,240.14162487998618,31.622776601683768,1285.4560573714834,819.7534453936781,2376.973904246832,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.021566506098705193,0.027968289771817638,0.2602305200532608,0.1659526704059091,0.47571798632969275,106.53168542738825,138.15446202907202,1285.4560573714834,819.7534453936781,2349.895650221622
ecol-SAMN08768110,UNICYCLER,rfplasmid,mobrecon,2.0,42.0,234939.0,0.37116017349184255,0.9101050687563952,0.5272831012299999,0.40476190476190477,0.2876712328767123,0.3363165332077249,0.049034487013620356,0.0,0.2602305200532608,0.1659526704059091,0.4752176774727903,242.21478072157362,0.0,1285.4560573714834,819.7534453936781,2347.4242834867355,6,42,234939,0.5725699011232703,0.8330567271456737,0.678676966271317,0.40476190476190477,0.2191780821917808,0.2843700993204391,0.021566506098705193,0.027968289771817638,0.2602305200532608,0.1659526704059091,0.47571798632969275,106.53168542738825,138.15446202907202,1285.4560573714834,819.7534453936781,2349.895650221622
ecol-SAMN08768110,UNICYCLER,plasclass,ground_truth,3.0,73.0,160276.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,73,160276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecol-SAMN08768110,UNICYCLER,plasgraph2,ground_truth,3.0,73.0,160276.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,73,160276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecol-SAMN08768110,UNICYCLER,mlplasmids,ground_truth,2.0,69.0,159231.0,0.5646136744729355,1.0,0.7217291829730869,0.8985507246376812,1.0,0.9465648854961832,0.05968901313392021,0.0,0.0,0.014231720993316979,0.07392073412723718,263.30020888711806,0.0,0.0,62.778975788327585,326.0791846754456,3,73,160276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecol-SAMN08768110,UNICYCLER,rfplasmid,ground_truth,3.0,73.0,160276.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,73,160276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kpne-SAMD00574222,SKESA,plasclass,plasbinflow,3.0,27.0,198146.0,0.5916041706620371,1.0,0.7434061578463391,0.5185185185185185,1.0,0.6829268292682926,0.06670841618304124,0.0,0.1265926911516483,0.013708789312294368,0.20700989664698397,189.56792977716464,0.0,359.7434290853207,38.956805728264655,588.2681645907501,8,64,311601,0.5258583894146681,0.8734773428617834,0.6564906163873436,0.5625,0.8260869565217391,0.6692759295499021,0.0,0.04686179910224073,0.40037852114833816,0.0,0.4472403202505789,0.0,197.01825794888455,1683.287459465559,0.0,1880.3057174144437
kpne-SAMD00574222,SKESA,plasgraph2,plasbinflow,3.0,9.0,44467.0,1.0,0.2909273997076498,0.45072619850432294,1.0,0.43478260869565216,0.6060606060606061,0.0,0.0,0.0,0.4191108992669562,0.4191108992669562,0.0,0.0,0.0,744.521626608485,744.521626608485,4,9,44467,1.0,0.21289589085593633,0.35105385789656923,1.0,0.30434782608695654,0.4666666666666667,0.0,0.061693757362970746,0.0,0.4191108992669562,0.480804656629927,0.0,109.5947079014311,0.0,744.521626608485,854.1163345099161
kpne-SAMD00574222,SKESA,mlplasmids,plasbinflow,3.0,12.0,45868.0,1.0,0.30091927886957937,0.46262559677193826,1.0,0.5652173913043478,0.7222222222222222,0.0,0.0,0.0,0.369271314264231,0.369271314264231,0.0,0.0,0.0,679.8619884536678,679.8619884536678,3,12,45868,1.0,0.30091927886957937,0.46262559677193826,1.0,0.5652173913043478,0.7222222222222222,0.0,0.0,0.0,0.369271314264231,0.369271314264231,0.0,0.0,0.0,679.8619884536678,679.8619884536678
kpne-SAMD00574222,SKESA,rfplasmid,plasbinflow,3.0,13.0,148814.0,0.7800946147539882,0.9688354718206919,0.8642807850943661,0.6153846153846154,0.6086956521739131,0.6120218579234973,0.07841832538331486,0.0,0.0,0.09280439791308048,0.17122272329639535,180.9005251512554,0.0,0.0,214.08725877222577,394.9877839234812,4,17,180983,0.8191819121132924,0.9688354718206919,0.8877458367692925,0.7058823529411765,0.6086956521739131,0.6536964980544747,0.009012787570710038,0.009012787570710027,0.11825297498493521,0.08183000176817301,0.21810855189452832,23.579652245103205,23.579652245103176,309.3786473072271,214.08725877222577,570.6252105696593
kpne-SAMD00574222,SKESA,plasclass,gplascc,5.0,16.0,65606.0,0.6985946407340792,0.34442098424557416,0.4613749746174867,0.625,0.5652173913043478,0.593607305936073,0.041135812296635536,0.00960394935616815,0.070100050476255,0.28675370870067934,0.40759352082973804,85.23496934944015,19.899748742132402,145.2499736884129,594.1646027478529,844.5492945278384,9,16,65606,0.7003627716977106,0.3415169725515673,0.4591427653685137,0.6875,0.4782608695652174,0.5641025641025642,0.040806083773896,0.023582329075139373,0.070100050476255,0.28675370870067934,0.4212421720259697,84.55175929571189,48.86348375506165,145.2499736884129,594.1646027478529,872.8298194870392
