SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_1	Contig:20:799.973:840,Contig:24:314.486:6455,Contig:29:412.567:55923,Contig:29:412.567:3p:1:2:200,Contig:29:412.567:3p:1:3:171	4	-0.08898561887640208	2.13473527	2.3149704172086656	5	-0.6777897433515956	0.24946721450000053	0.8325085524847964	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:46:384.403:1869,Contig:55:122.15:18771,Contig:57:392.436:544,Contig:65:113.162:283391,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129,Contig:35:1385.41:3p:1:17:105,Contig:57:392.436:5p:1:4:220	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_2	Contig:23:298.068:492	4	0.0	0.17206233999999998	1.2488872521999332	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_2	Contig:2:7288.18:Circ:1548	4	0.0	0.49995995000000004	50.88757734871121	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_3	Contig:45:327.682:1999	5	0.0	0.059659959999999956	1.5209952316023563	5	-0.2228576557521616	0.8548166520000003	0.8572414146183291	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:10:549,Contig:15:115.526:3p:1:17:177,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_4	Contig:67:854.331:422	5	0.0	0.16215884999999997	5.3796616178987104	5	-0.04932339910255759	-0.22789798	1.6574148122563201	Contig:14:872.594:527	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_5	Contig:15:115.526:3p:1:9:139	5	0.0	0.2692839	3.663726784835696	5	-0.3238639146890651	0.13953621200000033	0.8572414146183291	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:44:86.8:1460,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:7:272,Contig:15:115.526:3p:1:10:549,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_6	Contig:15:115.526:3p:1:13:130	5	0.0	0.35423610000000005	2.0604167673025118	5	-0.2228576557521616	0.7925134920000003	0.8572414146183291	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:10:549,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_7	Contig:15:115.526:3p:1:14:372	5	0.0	0.3983871	3.6800884347073493	5	-0.2228576557521616	1.1935437920000003	0.8572414146183291	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:10:549,Contig:15:115.526:3p:1:17:177,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129	0	False	0
ecol-SAMN15488633	GP_unb_1	Contig:11:121.553:2605	4	0.0	0.013071000000000055	1.657414812257129	GP_unb_8	Contig:15:115.526:3p:1:16:360	5	0.0	0.40544139999999995	3.7113655041743336	5	-0.2228576557521616	1.2005980920000003	0.8572414146183291	Contig:14:872.594:527,Contig:15:115.526:183216,Contig:11:121.553:3p:1:6:197,Contig:11:121.553:3p:1:7:291,Contig:11:121.553:3p:1:14:201,Contig:15:115.526:3p:1:6:178,Contig:15:115.526:3p:1:10:549,Contig:15:115.526:3p:1:17:177,Contig:15:115.526:3p:1:18:360,Contig:15:115.526:3p:1:19:129	0	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_1	Contig:20:799.973:840,Contig:24:314.486:6455,Contig:29:412.567:55923,Contig:29:412.567:3p:1:2:200,Contig:29:412.567:3p:1:3:171	4	-0.08898561887640208	2.13473527	2.3149704172086656	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_2	Contig:23:298.068:492	4	0.0	0.17206233999999998	1.2488872521999332	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_2	Contig:2:7288.18:Circ:1548	4	0.0	0.49995995000000004	50.88757734871121	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_3	Contig:45:327.682:1999	5	0.0	0.059659959999999956	1.5209952316023563	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_4	Contig:67:854.331:422	5	0.0	0.16215884999999997	5.3796616178987104	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_5	Contig:15:115.526:3p:1:9:139	5	0.0	0.2692839	3.663726784835696	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_6	Contig:15:115.526:3p:1:13:130	5	0.0	0.35423610000000005	2.0604167673025118	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_7	Contig:15:115.526:3p:1:14:372	5	0.0	0.3983871	3.6800884347073493	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_0	Contig:1:13126.2:Circ:6231	4	0.0	0.49997956	97.3806479165751	GP_unb_8	Contig:15:115.526:3p:1:16:360	5	0.0	0.40544139999999995	3.7113655041743336	0	0	0	0		1	False	0
ecol-SAMN15488633	GP_1	Contig:20:799.973:840,Contig:24:314.486:6455,Contig:29:412.567:55923,Contig:29:412.567:3p:1:2:200,Contig:29:412.567:3p:1:3:171	4	-0.08898561887640208	2.13473527	2.3149704172086656	GP_unb_2	Contig:23:298.068:492	4	0.0	0.17206233999999998	1.2488872521999332	0	0	0	0		1	False	0
